id,order_id,source_batch,reason_code,order_datetime,customer_id,product_id,quantity,unit_price,discount_pct,payment_method,sales_channel,updated_at,quarantined_at
32,O000332,1,MISSING_CUSTOMER_ID; INACTIVE_PRODUCT,2026-02-18 19:38:00,,P017,4,1281.37,0,Bank Transfer,Marketplace,2026-02-19 23:59:00,2026-08-18T06:00:50.835263+00:00
33,O000339,1,INVALID_QUANTITY,2026-03-15 12:23:00,C0146,P014,three,358.74,0,Credit Card,Online,2026-03-16 23:59:00,2026-08-18T06:00:50.835263+00:00
34,O000342,1,INACTIVE_PRODUCT,2026-02-24 10:13:00,C0156,P034,1,530.09,15,Cash,Store,2026-02-25 23:59:00,2026-08-18T06:00:50.835263+00:00
35,O000350,1,INACTIVE_PRODUCT,2026-03-12 21:39:00,C0171,P017,6,1281.37,0,PromptPay,Store,2026-03-13 23:59:00,2026-08-18T06:00:50.835263+00:00
36,O000356,1,INVALID_QUANTITY,2026-01-19 11:29:00,C0146,P042,-2,733.19,0,Bank Transfer,Store,2026-01-20 23:59:00,2026-08-18T06:00:50.835263+00:00
37,O000371,1,INACTIVE_PRODUCT,2026-02-09 02:38:00,C0098,P034,4,530.09,10,Cash,Marketplace,2026-02-10 23:59:00,2026-08-18T06:00:50.835263+00:00
38,O000376,1,INACTIVE_PRODUCT,2026-02-27 12:55:00,C0081,P034,3,530.09,0,Credit Card,Store,2026-02-28 23:59:00,2026-08-18T06:00:50.835263+00:00
39,O000388,1,INVALID_DATE,31/02/2026 10:00,C0086,P027,1,817.79,15,Bank Transfer,Marketplace,2026-01-25 23:59:00,2026-08-18T06:00:50.835263+00:00
40,O000393,1,INVALID_DATE,not-a-date,C0148,P037,5,185.91,10,Bank Transfer,Online,2026-02-25 23:59:00,2026-08-18T06:00:50.835263+00:00
41,O000404,1,INVALID_DISCOUNT_PCT,2026-01-30 04:14:00,C0163,P016,5,878.59,120,Credit Card,Store,2026-01-31 23:59:00,2026-08-18T06:00:50.835263+00:00
42,O000412,1,INACTIVE_PRODUCT,2026-03-03 09:07:00,C0058,P017,6,1281.37,15,Cash,Online,2026-03-04 23:59:00,2026-08-18T06:00:50.835263+00:00
43,O000415,1,MISSING_CUSTOMER_ID,2026-01-12 21:48:00,,P030,1,915.53,10,Credit Card,Marketplace,2026-01-13 23:59:00,2026-08-18T06:00:50.835263+00:00
44,O000417,1,INVALID_UNIT_PRICE,2026-02-09 22:58:00,C0021,P011,3,nan,0,Bank Transfer,Marketplace,2026-02-10 23:59:00,2026-08-18T06:00:50.835263+00:00
45,O000428,2,PRODUCT_NOT_FOUND,2026-04-04 13:52:00,C0150,P999,4,450.41,15,PromptPay,Marketplace,2026-04-06 23:59:00,2026-08-18T06:00:51.260341+00:00
46,O000445,2,INVALID_QUANTITY,2026-03-24 01:46:00,C0015,P039,-2,688.83,0,PromptPay,Store,2026-03-26 23:59:00,2026-08-18T06:00:51.260341+00:00
47,O000447,2,CUSTOMER_NOT_FOUND,2026-02-16 15:50:00,C9999,P001,4,29.67,5,PromptPay,Online,2026-02-18 23:59:00,2026-08-18T06:00:51.260341+00:00
48,O000452,2,INVALID_QUANTITY,2026-04-05 15:06:00,C0126,P036,three,220.86,0,Credit Card,Store,2026-04-07 23:59:00,2026-08-18T06:00:51.260341+00:00
49,O000472,2,INACTIVE_PRODUCT,2026-04-26 10:44:00,C0067,P034,6,530.09,10,Bank Transfer,Online,2026-04-28 23:59:00,2026-08-18T06:00:51.260341+00:00
50,O000485,2,INVALID_DATE,31/02/2026 10:00,C0077,P010,4,1366.97,5,Bank Transfer,Online,2026-05-05 23:59:00,2026-08-18T06:00:51.260341+00:00
51,O000491,2,INACTIVE_PRODUCT,2026-04-13 19:01:00,C0050,P034,4,530.09,0,Bank Transfer,Online,2026-04-15 23:59:00,2026-08-18T06:00:51.260341+00:00
52,O000498,2,MISSING_CUSTOMER_ID,2026-04-30 23:16:00,,P035,3,997.99,0,Credit Card,Marketplace,2026-05-02 23:59:00,2026-08-18T06:00:51.260341+00:00
53,O000499,2,INACTIVE_PRODUCT,2026-04-22 07:50:00,C0072,P034,1,530.09,15,Cash,Marketplace,2026-04-24 23:59:00,2026-08-18T06:00:51.260341+00:00
54,O000501,2,INACTIVE_PRODUCT,2026-03-08 15:47:00,C0165,P017,3,1281.37,15,Credit Card,Marketplace,2026-03-10 23:59:00,2026-08-18T06:00:51.260341+00:00
55,O000505,2,INVALID_DISCOUNT_PCT,2026-03-25 23:29:00,C0154,P009,4,192.56,120,Cash,Marketplace,2026-03-27 23:59:00,2026-08-18T06:00:51.260341+00:00
56,O000523,2,INACTIVE_PRODUCT,2026-03-17 08:59:00,C0080,P034,2,530.09,15,PromptPay,Store,2026-03-19 23:59:00,2026-08-18T06:00:51.260341+00:00
57,O000524,2,INVALID_DATE,not-a-date,C0075,P009,3,192.56,0,Bank Transfer,Marketplace,2026-03-08 23:59:00,2026-08-18T06:00:51.260341+00:00
58,O000530,2,INACTIVE_PRODUCT,2026-03-25 09:36:00,C0142,P017,1,1281.37,0,PromptPay,Online,2026-03-27 23:59:00,2026-08-18T06:00:51.260341+00:00
59,O000534,2,INVALID_QUANTITY,2026-03-22 19:50:00,C0044,P004,-2,1451.77,0,Bank Transfer,Online,2026-03-24 23:59:00,2026-08-18T06:00:51.260341+00:00
60,O000535,2,PRODUCT_NOT_FOUND,2026-04-17 04:13:00,C0100,P999,5,649.9,15,Bank Transfer,Store,2026-04-19 23:59:00,2026-08-18T06:00:51.260341+00:00
61,O000542,2,INACTIVE_PRODUCT,2026-04-10 14:43:00,C0137,P034,6,530.09,0,Credit Card,Online,2026-04-12 23:59:00,2026-08-18T06:00:51.260341+00:00
62,O000545,2,INACTIVE_PRODUCT,2026-02-17 20:39:00,C0132,P017,2,1281.37,10,credit card,Marketplace,2026-02-19 23:59:00,2026-08-18T06:00:51.260341+00:00
63,O000552,2,INACTIVE_PRODUCT,2026-04-24 15:03:00,C0038,P034,1,530.09,10,PromptPay,Online,2026-04-26 23:59:00,2026-08-18T06:00:51.260341+00:00
64,O000556,2,INVALID_UNIT_PRICE,2026-04-21 06:20:00,C0177,P001,6,nan,0,PromptPay,Store,2026-04-23 23:59:00,2026-08-18T06:00:51.260341+00:00
65,O000565,2,INVALID_QUANTITY,2026-04-14 04:24:00,C0009,P033,three,654.4,5,Cash,Marketplace,2026-04-16 23:59:00,2026-08-18T06:00:51.260341+00:00
66,O000581,2,MISSING_CUSTOMER_ID,2026-04-23 12:25:00,,P010,3,1366.97,15,Credit Card,Online,2026-04-25 23:59:00,2026-08-18T06:00:51.260341+00:00
67,O000582,2,INVALID_DATE,31/02/2026 10:00,C0140,P009,4,192.56,0,PromptPay,Online,2026-04-22 23:59:00,2026-08-18T06:00:51.260341+00:00
68,O000584,2,INACTIVE_PRODUCT,2026-03-18 15:07:00,C0114,P034,3,530.09,15,PromptPay,Online,2026-03-20 23:59:00,2026-08-18T06:00:51.260341+00:00
69,O000596,2,CUSTOMER_NOT_FOUND,2026-03-31 05:33:00,C9999,P036,5,220.86,0,Cash,Online,2026-04-02 23:59:00,2026-08-18T06:00:51.260341+00:00
70,O000599,2,INACTIVE_PRODUCT,2026-04-25 16:12:00,C0138,P017,1,1281.37,0,PromptPay,Store,2026-04-27 23:59:00,2026-08-18T06:00:51.260341+00:00
71,O000606,2,INVALID_DISCOUNT_PCT,2026-03-22 11:21:00,C0125,P042,6,733.19,120,Credit Card,Store,2026-03-24 23:59:00,2026-08-18T06:00:51.260341+00:00
72,O000623,2,INVALID_QUANTITY,2026-02-16 02:04:00,C0086,P041,-2,1291.92,15,Credit Card,Online,2026-02-18 23:59:00,2026-08-18T06:00:51.260341+00:00
73,O000642,2,PRODUCT_NOT_FOUND,2026-02-17 10:10:00,C0018,P999,5,979.4,5,Credit Card,Online,2026-02-19 23:59:00,2026-08-18T06:00:51.260341+00:00
74,O000655,2,INVALID_DATE,not-a-date,C0147,P037,3,185.91,0,Bank Transfer,Online,2026-04-24 23:59:00,2026-08-18T06:00:51.260341+00:00
75,O000656,2,INACTIVE_PRODUCT,2026-04-10 01:48:00,C0174,P034,1,530.09,5,Bank Transfer,Marketplace,2026-04-12 23:59:00,2026-08-18T06:00:51.260341+00:00
76,O000664,2,MISSING_CUSTOMER_ID,2026-04-11 00:34:00,,P004,3,1451.77,15,Bank Transfer,Store,2026-04-13 23:59:00,2026-08-18T06:00:51.260341+00:00
77,O000678,2,INVALID_QUANTITY,2026-02-16 02:58:00,C0137,P046,three,187.09,0,PromptPay,Store,2026-02-18 23:59:00,2026-08-18T06:00:51.260341+00:00
78,O000679,2,INVALID_DATE,31/02/2026 10:00,C0075,P040,2,1472.44,0,PromptPay,Online,2026-04-04 23:59:00,2026-08-18T06:00:51.260341+00:00
79,O000695,2,INVALID_UNIT_PRICE; INACTIVE_PRODUCT,2026-04-06 11:55:00,C0119,P017,3,nan,15,Cash,Marketplace,2026-04-08 23:59:00,2026-08-18T06:00:51.260341+00:00
80,O000702,2,INACTIVE_PRODUCT,2026-04-02 20:37:00,C0147,P034,2,530.09,0,Cash,Online,2026-04-04 23:59:00,2026-08-18T06:00:51.260341+00:00
81,O000707,2,INVALID_DISCOUNT_PCT,2026-03-02 09:06:00,C0079,P044,2,766,120,Bank Transfer,Store,2026-03-04 23:59:00,2026-08-18T06:00:51.260341+00:00
82,O000712,2,INVALID_QUANTITY,2026-02-15 22:17:00,C0026,P040,-2,1472.44,10,Bank Transfer,Store,2026-02-17 23:59:00,2026-08-18T06:00:51.260341+00:00
83,O000736,2,INACTIVE_PRODUCT,2026-03-16 08:50:00,C0022,P034,3,530.09,0,Credit Card,Online,2026-03-18 23:59:00,2026-08-18T06:00:51.260341+00:00
84,O000740,2,INACTIVE_PRODUCT,2026-05-01 10:35:00,C0133,P017,3,1281.37,15,Bank Transfer,Store,2026-05-03 23:59:00,2026-08-18T06:00:51.260341+00:00
85,O000745,2,CUSTOMER_NOT_FOUND,2026-02-22 01:04:00,C9999,P021,1,1114.51,0,PromptPay,Marketplace,2026-02-24 23:59:00,2026-08-18T06:00:51.260341+00:00
86,O000747,2,MISSING_CUSTOMER_ID,2026-04-07 20:13:00,,P014,1,358.74,0,Credit Card,Store,2026-04-09 23:59:00,2026-08-18T06:00:51.260341+00:00
87,O000749,2,PRODUCT_NOT_FOUND,2026-04-18 13:19:00,C0180,P999,1,204.81,0,Cash,Online,2026-04-20 23:59:00,2026-08-18T06:00:51.260341+00:00
88,O000769,2,INACTIVE_PRODUCT,2026-03-08 13:16:00,C0079,P017,5,1281.37,15,PromptPay,Marketplace,2026-03-10 23:59:00,2026-08-18T06:00:51.260341+00:00
89,O000776,2,INVALID_DATE,31/02/2026 10:00,C0120,P047,2,613.02,0,Cash,Online,2026-04-29 23:59:00,2026-08-18T06:00:51.260341+00:00
90,O000786,2,INVALID_DATE,not-a-date,C0044,P008,6,292.37,5,Cash,Marketplace,2026-04-09 23:59:00,2026-08-18T06:00:51.260341+00:00
91,O000791,2,INVALID_QUANTITY,2026-04-11 13:31:00,C0058,P040,three,1472.44,0,Credit Card,Store,2026-04-13 23:59:00,2026-08-18T06:00:51.260341+00:00
92,O000801,2,INVALID_QUANTITY,2026-04-05 07:59:00,C0030,P044,-2,766,0,Credit Card,Marketplace,2026-04-07 23:59:00,2026-08-18T06:00:51.260341+00:00
93,O000805,2,INACTIVE_PRODUCT,2026-04-04 12:58:00,C0171,P034,6,530.09,0,Credit Card,Store,2026-04-06 23:59:00,2026-08-18T06:00:51.260341+00:00
94,O000808,2,INVALID_DISCOUNT_PCT,2026-02-20 13:39:00,C0168,P008,5,292.37,120,Cash,Store,2026-02-22 23:59:00,2026-08-18T06:00:51.260341+00:00
95,O000824,2,INACTIVE_PRODUCT,2026-04-27 14:46:00,C0022,P017,1,1281.37,15,PromptPay,Marketplace,2026-04-29 23:59:00,2026-08-18T06:00:51.260341+00:00
96,O000830,2,MISSING_CUSTOMER_ID,2026-04-08 01:48:00,,P009,1,192.56,0,Bank Transfer,Online,2026-04-10 23:59:00,2026-08-18T06:00:51.260341+00:00
97,O000834,2,INVALID_UNIT_PRICE,2026-04-30 17:12:00,C0058,P032,3,nan,10,Cash,Online,2026-05-02 23:59:00,2026-08-18T06:00:51.260341+00:00
98,O000428,2,PRODUCT_NOT_FOUND,2026-04-04 13:52:00,C0150,P999,4,450.41,15,PromptPay,Marketplace,2026-04-06 23:59:00,2026-08-18T06:00:51.260341+00:00
99,O000445,2,INVALID_QUANTITY,2026-03-24 01:46:00,C0015,P039,-2,688.83,0,PromptPay,Store,2026-03-26 23:59:00,2026-08-18T06:00:51.260341+00:00
100,O000844,3,INACTIVE_PRODUCT,2026-05-22 02:07:00,C0098,P034,4,530.09,0,Credit Card,Marketplace,2026-05-25 23:59:00,2026-08-18T06:00:51.527411+00:00
101,O000855,3,INACTIVE_PRODUCT,2026-05-11 15:48:00,C0105,P017,6,1281.37,5,Bank Transfer,Online,2026-05-14 23:59:00,2026-08-18T06:00:51.527411+00:00
102,O000856,3,PRODUCT_NOT_FOUND,2026-05-15 06:36:00,C0089,P999,6,915.53,0,Bank Transfer,Marketplace,2026-05-18 23:59:00,2026-08-18T06:00:51.527411+00:00
103,O000873,3,INVALID_DATE,31/02/2026 10:00,C0109,P001,6,29.67,5,PromptPay,Marketplace,2026-06-09 23:59:00,2026-08-18T06:00:51.527411+00:00
104,O000890,3,INVALID_QUANTITY,2026-05-28 01:59:00,C0061,P015,-2,320.33,15,Bank Transfer,Store,2026-05-31 23:59:00,2026-08-18T06:00:51.527411+00:00
105,O000894,3,CUSTOMER_NOT_FOUND,2026-04-28 09:49:00,C9999,P022,5,840.27,10,Bank Transfer,Online,2026-05-01 23:59:00,2026-08-18T06:00:51.527411+00:00
106,O000904,3,INVALID_QUANTITY,2026-06-16 06:47:00,C0152,P033,three,654.4,0,Bank Transfer,Marketplace,2026-06-19 23:59:00,2026-08-18T06:00:51.527411+00:00
107,O000909,3,INVALID_DISCOUNT_PCT,2026-06-10 21:37:00,C0058,P009,1,192.56,120,PromptPay,Marketplace,2026-06-13 23:59:00,2026-08-18T06:00:51.527411+00:00
108,O000913,3,MISSING_CUSTOMER_ID,2026-05-26 00:19:00,,P023,5,784.71,5,Bank Transfer,Marketplace,2026-05-29 23:59:00,2026-08-18T06:00:51.527411+00:00
109,O000917,3,INVALID_DATE,not-a-date,C0032,P022,3,840.27,0,Credit Card,Store,2026-05-10 23:59:00,2026-08-18T06:00:51.527411+00:00
110,O000955,3,INACTIVE_PRODUCT,2026-04-02 10:37:00,C0163,P017,1,1281.37,10,PromptPay,Marketplace,2026-04-05 23:59:00,2026-08-18T06:00:51.527411+00:00
111,O000963,3,PRODUCT_NOT_FOUND,2026-05-20 19:21:00,C0069,P999,1,549.89,0,Cash,Online,2026-05-23 23:59:00,2026-08-18T06:00:51.527411+00:00
112,O000970,3,INVALID_DATE,31/02/2026 10:00,C0040,P040,2,1472.44,0,Cash,Online,2026-06-20 23:59:00,2026-08-18T06:00:51.527411+00:00
113,O000973,3,INVALID_UNIT_PRICE,2026-06-16 00:22:00,C0055,P043,2,nan,10,Bank Transfer,Marketplace,2026-06-19 23:59:00,2026-08-18T06:00:51.527411+00:00
114,O000976,3,INACTIVE_PRODUCT,2026-06-05 00:50:00,C0036,P034,4,530.09,0,Credit Card,Marketplace,2026-06-08 23:59:00,2026-08-18T06:00:51.527411+00:00
115,O000979,3,INVALID_QUANTITY,2026-04-16 01:32:00,C0049,P047,-2,613.02,0,Cash,Store,2026-04-19 23:59:00,2026-08-18T06:00:51.527411+00:00
116,O000996,3,MISSING_CUSTOMER_ID,2026-05-04 19:07:00,,P035,4,997.99,0,Cash,Online,2026-05-07 23:59:00,2026-08-18T06:00:51.527411+00:00
117,O001010,3,INVALID_DISCOUNT_PCT,2026-04-17 03:46:00,C0102,P020,2,62.79,120,PromptPay,Marketplace,2026-04-20 23:59:00,2026-08-18T06:00:51.527411+00:00
118,O001016,3,INACTIVE_PRODUCT,2026-06-05 03:57:00,C0105,P017,5,THB 1281.37,10,Bank Transfer,Store,2026-06-08 23:59:00,2026-08-18T06:00:51.527411+00:00
119,O001017,3,INVALID_QUANTITY,2026-05-31 23:42:00,C0010,P009,three,192.56,0,Bank Transfer,Marketplace,2026-06-03 23:59:00,2026-08-18T06:00:51.527411+00:00
120,O001043,3,CUSTOMER_NOT_FOUND,2026-04-07 15:03:00,C9999,P029,5,450.41,0,Bank Transfer,Store,2026-04-10 23:59:00,2026-08-18T06:00:51.527411+00:00
121,O001048,3,INVALID_DATE,not-a-date,C0023,P037,2,185.91,0,Cash,Store,2026-06-18 23:59:00,2026-08-18T06:00:51.527411+00:00
122,O001051,3,INACTIVE_PRODUCT,2026-04-21 19:00:00,C0097,P034,4,530.09,10,PromptPay,Store,2026-04-24 23:59:00,2026-08-18T06:00:51.527411+00:00
123,O001052,3,INACTIVE_PRODUCT,2026-06-05 13:08:00,C0120,P017,4,1281.37,10,PromptPay,Store,2026-06-08 23:59:00,2026-08-18T06:00:51.527411+00:00
124,O001058,3,INACTIVE_PRODUCT,2026-04-06 21:32:00,C0151,P017,4,1281.37,0,Credit Card,Marketplace,2026-04-09 23:59:00,2026-08-18T06:00:51.527411+00:00
125,O001059,3,INACTIVE_PRODUCT,2026-04-10 12:32:00,C0028,P034,1,530.09,10,PromptPay,Online,2026-04-13 23:59:00,2026-08-18T06:00:51.527411+00:00
126,O001067,3,INVALID_DATE,31/02/2026 10:00,C0080,P042,6,733.19,15,Credit Card,Marketplace,2026-04-28 23:59:00,2026-08-18T06:00:51.527411+00:00
127,O001068,3,INVALID_QUANTITY,2026-04-20 01:42:00,C0145,P042,-2,733.19,15,Bank Transfer,Online,2026-04-23 23:59:00,2026-08-18T06:00:51.527411+00:00
128,O001070,3,PRODUCT_NOT_FOUND,2026-05-13 06:50:00,C0023,P999,2,840.27,15,Cash,Store,2026-05-16 23:59:00,2026-08-18T06:00:51.527411+00:00
129,O001079,3,MISSING_CUSTOMER_ID,2026-06-12 04:11:00,,P044,2,766,0,Bank Transfer,Marketplace,2026-06-15 23:59:00,2026-08-18T06:00:51.527411+00:00
130,O001111,3,INVALID_DISCOUNT_PCT,2026-04-08 03:19:00,C0137,P040,3,1472.44,120,PromptPay,Online,2026-04-11 23:59:00,2026-08-18T06:00:51.527411+00:00
131,O001112,3,INVALID_UNIT_PRICE,2026-06-10 12:16:00,C0096,P030,3,nan,0,Bank Transfer,Marketplace,2026-06-13 23:59:00,2026-08-18T06:00:51.527411+00:00
132,O001129,3,INACTIVE_PRODUCT,2026-04-09 09:58:00,C0141,P017,1,1281.37,5,Bank Transfer,Store,2026-04-12 23:59:00,2026-08-18T06:00:51.527411+00:00
133,O001130,3,INVALID_QUANTITY,2026-05-02 06:41:00,C0089,P001,three,29.67,0,Credit Card,Store,2026-05-05 23:59:00,2026-08-18T06:00:51.527411+00:00
134,O001157,3,INVALID_QUANTITY,2026-06-17 10:55:00,C0133,P041,-2,1291.92,5,Credit Card,Store,2026-06-20 23:59:00,2026-08-18T06:00:51.527411+00:00
135,O001162,3,MISSING_CUSTOMER_ID,2026-06-07 09:16:00,,P027,6,817.79,15,Cash,Store,2026-06-10 23:59:00,2026-08-18T06:00:51.527411+00:00
136,O001164,3,INVALID_DATE,31/02/2026 10:00,C0107,P008,4,292.37,15,Bank Transfer,Store,2026-05-09 23:59:00,2026-08-18T06:00:51.527411+00:00
137,O001167,3,INACTIVE_PRODUCT,2026-04-22 02:27:00,C0176,P034,5,530.09,15,Bank Transfer,Marketplace,2026-04-25 23:59:00,2026-08-18T06:00:51.527411+00:00
138,O001172,3,INACTIVE_PRODUCT,2026-04-20 07:06:00,C0157,P034,5,530.09,15,Bank Transfer,Marketplace,2026-04-23 23:59:00,2026-08-18T06:00:51.527411+00:00
139,O001177,3,PRODUCT_NOT_FOUND,2026-04-04 04:07:00,C0129,P999,1,358.74,0,PromptPay,Marketplace,2026-04-07 23:59:00,2026-08-18T06:00:51.527411+00:00
140,O001179,3,INVALID_DATE,not-a-date,C0171,P031,1,599.9,15,Credit Card,Store,2026-05-07 23:59:00,2026-08-18T06:00:51.527411+00:00
141,O001184,3,INACTIVE_PRODUCT,2026-04-24 17:45:00,C0080,P017,3,1281.37,10,PromptPay,Marketplace,2026-04-27 23:59:00,2026-08-18T06:00:51.527411+00:00
142,O001192,3,CUSTOMER_NOT_FOUND,2026-05-02 18:39:00,C9999,P045,2,1459.08,10,PromptPay,Store,2026-05-05 23:59:00,2026-08-18T06:00:51.527411+00:00
143,O001201,3,INACTIVE_PRODUCT,2026-06-17 20:54:00,C0103,P034,3,530.09,0,PromptPay,Store,2026-06-20 23:59:00,2026-08-18T06:00:51.527411+00:00
144,O001212,3,INVALID_DISCOUNT_PCT,2026-05-20 16:45:00,C0154,P004,5,1451.77,120,Bank Transfer,Marketplace,2026-05-23 23:59:00,2026-08-18T06:00:51.527411+00:00
145,O001234,3,INACTIVE_PRODUCT,2026-05-02 13:34:00,C0051,P034,3,530.09,0,Cash,Store,2026-05-05 23:59:00,2026-08-18T06:00:51.527411+00:00
146,O001242,3,INACTIVE_PRODUCT,2026-04-07 18:17:00,C0020,P034,1,530.09,0,Bank Transfer,Marketplace,2026-04-10 23:59:00,2026-08-18T06:00:51.527411+00:00
147,O001243,3,INVALID_QUANTITY,2026-04-02 11:45:00,C0078,P015,three,320.33,0,Credit Card,Store,2026-04-05 23:59:00,2026-08-18T06:00:51.527411+00:00
148,O001245,3,MISSING_CUSTOMER_ID,2026-04-17 23:42:00,,P023,3,784.71,10,Bank Transfer,Online,2026-04-20 23:59:00,2026-08-18T06:00:51.527411+00:00
149,O001246,3,INVALID_QUANTITY,2026-05-07 12:27:00,C0014,P024,-2,241.87,0,Bank Transfer,Store,2026-05-10 23:59:00,2026-08-18T06:00:51.527411+00:00
